date,createdAt,timestamp,context,value
2024-05-13 18:02:26.860000-06:00,1715644946860,1715644946860,{},36.0
2024-05-13 18:02:25.819000-06:00,1715644945819,1715644945819,{},36.0
2024-05-13 18:02:24.779000-06:00,1715644944779,1715644944779,{},36.0
2024-05-13 18:02:23.831000-06:00,1715644943831,1715644943831,{},36.0
2024-05-13 18:02:22.715000-06:00,1715644942715,1715644942715,{},36.0
2024-05-13 18:02:21.674000-06:00,1715644941674,1715644941674,{},36.0
2024-05-13 18:02:20.636000-06:00,1715644940636,1715644940636,{},36.0
2024-05-13 18:02:19.593000-06:00,1715644939593,1715644939593,{},36.0
2024-05-13 18:02:18.590000-06:00,1715644938590,1715644938590,{},36.0
2024-05-13 18:02:17.528000-06:00,1715644937528,1715644937528,{},36.0
2024-05-13 18:02:16.506000-06:00,1715644936506,1715644936506,{},36.0
2024-05-13 18:02:15.455000-06:00,1715644935455,1715644935455,{},36.0
2024-05-13 18:02:14.437000-06:00,1715644934437,1715644934437,{},36.0
2024-05-13 18:02:13.373000-06:00,1715644933373,1715644933373,{},36.0
2024-05-13 18:02:12.339000-06:00,1715644932339,1715644932339,{},36.0
2024-05-13 18:02:11.300000-06:00,1715644931300,1715644931300,{},36.0
2024-05-13 18:02:10.134000-06:00,1715644930134,1715644930134,{},36.0
2024-05-13 18:02:09.224000-06:00,1715644929224,1715644929224,{},36.0
2024-05-13 18:02:08.217000-06:00,1715644928217,1715644928217,{},36.0
2024-05-13 18:02:07.048000-06:00,1715644927048,1715644927048,{},36.0
2024-05-13 18:02:06.124000-06:00,1715644926124,1715644926124,{},36.0
2024-05-13 18:02:05.116000-06:00,1715644925116,1715644925116,{},36.0
2024-05-13 18:02:04.045000-06:00,1715644924045,1715644924045,{},36.0
2024-05-13 18:02:03.027000-06:00,1715644923027,1715644923027,{},36.0
2024-05-13 18:02:01.859000-06:00,1715644921859,1715644921859,{},36.0
2024-05-13 18:02:00.935000-06:00,1715644920935,1715644920935,{},36.0
2024-05-13 18:01:59.897000-06:00,1715644919897,1715644919897,{},36.0
2024-05-13 18:01:58.878000-06:00,1715644918878,1715644918878,{},36.0
2024-05-13 18:01:57.713000-06:00,1715644917713,1715644917713,{},36.0
2024-05-13 18:01:56.811000-06:00,1715644916811,1715644916811,{},36.0
2024-05-13 18:01:55.752000-06:00,1715644915752,1715644915752,{},36.0
2024-05-13 18:01:54.612000-06:00,1715644914612,1715644914612,{},36.0
2024-05-13 18:01:53.708000-06:00,1715644913708,1715644913708,{},36.0
2024-05-13 18:01:52.672000-06:00,1715644912672,1715644912672,{},36.0
2024-05-13 18:01:51.633000-06:00,1715644911633,1715644911633,{},36.0
2024-05-13 18:01:50.641000-06:00,1715644910641,1715644910641,{},36.0
2024-05-13 18:01:49.418000-06:00,1715644909418,1715644909418,{},36.0
2024-05-13 18:01:48.509000-06:00,1715644908509,1715644908509,{},36.0
2024-05-13 18:01:47.474000-06:00,1715644907474,1715644907474,{},36.0
2024-05-13 18:01:46.464000-06:00,1715644906464,1715644906464,{},36.0
2024-05-13 18:01:45.410000-06:00,1715644905410,1715644905410,{},36.0
2024-05-13 18:01:44.422000-06:00,1715644904422,1715644904422,{},36.0
2024-05-13 18:01:43.335000-06:00,1715644903335,1715644903335,{},36.0
2024-05-13 18:01:42.298000-06:00,1715644902298,1715644902298,{},36.0
2024-05-13 18:01:41.270000-06:00,1715644901270,1715644901270,{},36.0
2024-05-13 18:01:40.229000-06:00,1715644900229,1715644900229,{},36.0
2024-05-13 18:01:39.191000-06:00,1715644899191,1715644899191,{},36.0
2024-05-13 18:01:38.134000-06:00,1715644898134,1715644898134,{},36.0
2024-05-13 18:01:37.110000-06:00,1715644897110,1715644897110,{},36.0
2024-05-13 18:01:36.083000-06:00,1715644896083,1715644896083,{},36.0
2024-05-13 18:01:35.044000-06:00,1715644895044,1715644895044,{},36.0
2024-05-13 18:01:34.025000-06:00,1715644894025,1715644894025,{},36.0
2024-05-13 18:01:32.987000-06:00,1715644892987,1715644892987,{},35.0
2024-05-13 18:01:31.928000-06:00,1715644891928,1715644891928,{},36.0
2024-05-13 18:01:30.900000-06:00,1715644890900,1715644890900,{},36.0
2024-05-13 18:01:29.864000-06:00,1715644889864,1715644889864,{},36.0
2024-05-13 18:01:28.834000-06:00,1715644888834,1715644888834,{},36.0
2024-05-13 18:01:27.820000-06:00,1715644887820,1715644887820,{},36.0
2024-05-13 18:01:26.731000-06:00,1715644886731,1715644886731,{},36.0
